screen_id,reference,actual,capture_status,compare_status,mean_abs_diff,visual_status,notes
01,verification/ui_rebuild/reference_v4/01.png,verification/ui_rebuild/actual_v4/01.png,CAPTURED,COMPARED,14.32,CAPTURED_COMPARED_NOT_PIXEL_PASS,OWNER_OVERRIDE_CELESTIAL_REMOVAL on 01/02/05/07 if board still shows a planet
02,verification/ui_rebuild/reference_v4/02.png,verification/ui_rebuild/actual_v4/02.png,CAPTURED,COMPARED,28.35,CAPTURED_COMPARED_NOT_PIXEL_PASS,OWNER_OVERRIDE_CELESTIAL_REMOVAL on 01/02/05/07 if board still shows a planet
03,verification/ui_rebuild/reference_v4/03.png,verification/ui_rebuild/actual_v4/03.png,CAPTURED,COMPARED,26.62,CAPTURED_COMPARED_NOT_PIXEL_PASS,OWNER_OVERRIDE_CELESTIAL_REMOVAL on 01/02/05/07 if board still shows a planet
04,verification/ui_rebuild/reference_v4/04.png,verification/ui_rebuild/actual_v4/04.png,CAPTURED,COMPARED,21.01,CAPTURED_COMPARED_NOT_PIXEL_PASS,OWNER_OVERRIDE_CELESTIAL_REMOVAL on 01/02/05/07 if board still shows a planet
05,verification/ui_rebuild/reference_v4/05.png,verification/ui_rebuild/actual_v4/05.png,CAPTURED,COMPARED,22.74,CAPTURED_COMPARED_NOT_PIXEL_PASS,OWNER_OVERRIDE_CELESTIAL_REMOVAL on 01/02/05/07 if board still shows a planet
06,verification/ui_rebuild/reference_v4/06.png,verification/ui_rebuild/actual_v4/06.png,CAPTURED,COMPARED,20.65,CAPTURED_COMPARED_NOT_PIXEL_PASS,OWNER_OVERRIDE_CELESTIAL_REMOVAL on 01/02/05/07 if board still shows a planet
07,verification/ui_rebuild/reference_v4/07.png,verification/ui_rebuild/actual_v4/07.png,CAPTURED,COMPARED,20.86,CAPTURED_COMPARED_NOT_PIXEL_PASS,OWNER_OVERRIDE_CELESTIAL_REMOVAL on 01/02/05/07 if board still shows a planet
08,verification/ui_rebuild/reference_v4/08.png,verification/ui_rebuild/actual_v4/08.png,CAPTURED,COMPARED,21.40,CAPTURED_COMPARED_NOT_PIXEL_PASS,OWNER_OVERRIDE_CELESTIAL_REMOVAL on 01/02/05/07 if board still shows a planet
09,verification/ui_rebuild/reference_v4/09.png,verification/ui_rebuild/actual_v4/09.png,CAPTURED,COMPARED,33.04,CAPTURED_COMPARED_NOT_PIXEL_PASS,OWNER_OVERRIDE_CELESTIAL_REMOVAL on 01/02/05/07 if board still shows a planet
10,verification/ui_rebuild/reference_v4/10.png,verification/ui_rebuild/actual_v4/10.png,CAPTURED,COMPARED,18.02,CAPTURED_COMPARED_NOT_PIXEL_PASS,OWNER_OVERRIDE_CELESTIAL_REMOVAL on 01/02/05/07 if board still shows a planet
11,verification/ui_rebuild/reference_v4/11.png,verification/ui_rebuild/actual_v4/11.png,CAPTURED,COMPARED,27.19,CAPTURED_COMPARED_NOT_PIXEL_PASS,OWNER_OVERRIDE_CELESTIAL_REMOVAL on 01/02/05/07 if board still shows a planet
12,verification/ui_rebuild/reference_v4/12.png,verification/ui_rebuild/actual_v4/12.png,CAPTURED,COMPARED,24.23,CAPTURED_COMPARED_NOT_PIXEL_PASS,OWNER_OVERRIDE_CELESTIAL_REMOVAL on 01/02/05/07 if board still shows a planet
13,verification/ui_rebuild/reference_v4/13.png,verification/ui_rebuild/actual_v4/13.png,CAPTURED,COMPARED,19.68,CAPTURED_COMPARED_NOT_PIXEL_PASS,OWNER_OVERRIDE_CELESTIAL_REMOVAL on 01/02/05/07 if board still shows a planet
14,verification/ui_rebuild/reference_v4/14.png,verification/ui_rebuild/actual_v4/14.png,CAPTURED,COMPARED,32.56,CAPTURED_COMPARED_NOT_PIXEL_PASS,OWNER_OVERRIDE_CELESTIAL_REMOVAL on 01/02/05/07 if board still shows a planet
15,verification/ui_rebuild/reference_v4/15.png,verification/ui_rebuild/actual_v4/15.png,CAPTURED,COMPARED,34.36,CAPTURED_COMPARED_NOT_PIXEL_PASS,OWNER_OVERRIDE_CELESTIAL_REMOVAL on 01/02/05/07 if board still shows a planet
16,verification/ui_rebuild/reference_v4/16.png,verification/ui_rebuild/actual_v4/16.png,CAPTURED,COMPARED,32.84,CAPTURED_COMPARED_NOT_PIXEL_PASS,OWNER_OVERRIDE_CELESTIAL_REMOVAL on 01/02/05/07 if board still shows a planet
17,verification/ui_rebuild/reference_v4/17.png,verification/ui_rebuild/actual_v4/17.png,CAPTURED,COMPARED,28.90,CAPTURED_COMPARED_NOT_PIXEL_PASS,OWNER_OVERRIDE_CELESTIAL_REMOVAL on 01/02/05/07 if board still shows a planet
18,verification/ui_rebuild/reference_v4/18.png,verification/ui_rebuild/actual_v4/18.png,CAPTURED,COMPARED,30.21,CAPTURED_COMPARED_NOT_PIXEL_PASS,OWNER_OVERRIDE_CELESTIAL_REMOVAL on 01/02/05/07 if board still shows a planet
