screen_id,capture_status,composition,hierarchy,typography,spacing,asset_integration,controls,chrome,polish,average,pass,notes
01,CAPTURED,3.9,3.5,3.3,3.5,4.0,3.3,3.5,3.5,3.56,NO,ru-RU; filled planet + one rim; fox occludes upper limb; wordmark still a large lower block; not pixel-locked.
02,CAPTURED,3.8,3.5,3.4,3.4,4.0,3.5,3.4,3.4,3.55,NO,ru-RU; fox+planet; AUTO/Ready hide planet later; not pixel-locked.
03,CAPTURED,3.6,3.5,3.4,3.1,3.7,3.5,3.4,3.3,3.44,NO,Owner directional anchor. Concept frozen; no planet. Not automatic pixel PASS.
04,CAPTURED,3.6,3.5,3.4,3.1,3.7,3.5,3.4,3.3,3.44,NO,Owner directional anchor. Concept frozen; no planet. Completion mark kept.
05,CAPTURED,3.8,3.5,3.4,3.3,3.9,3.4,3.4,3.3,3.50,NO,ru-RU Не защищено; filled planet; production VPN-permission line remains truthful.
06,CAPTURED,3.8,3.6,3.4,3.4,3.9,3.6,3.5,3.4,3.58,NO,Static planet; V6 rail/stages; no orbit ring; neutral Остановить.
07,CAPTURED,3.8,3.6,3.5,3.3,3.9,3.6,3.5,3.4,3.58,NO,DEBUG Защищено without Нет разрешения VPN; planet behind fox; not production CONNECTED.
08,CAPTURED,3.6,3.5,3.3,3.3,3.7,3.5,3.4,3.3,3.45,NO,Native sheet over live 05; planet-backed fox visible under scrim; ru-RU.
09,CAPTURED,3.5,3.4,3.3,3.2,3.8,3.4,3.4,3.3,3.41,NO,ru-RU HTTPS; supporting fox+planet; form remains primary.
10,CAPTURED,3.6,3.5,3.3,3.3,3.5,3.4,3.4,3.3,3.41,NO,Debug overlay populated servers; production catalog not faked; pings muted.
11,CAPTURED,3.4,3.3,3.2,3.2,3.3,3.3,3.3,3.1,3.26,NO,ru-RU debug details; 18ms/12% debug-only; still lighter than board.
12,CAPTURED,3.3,3.3,3.2,3.1,3.2,3.4,3.3,3.1,3.24,NO,ru-RU debug subscription; lower field still open vs board.
13,CAPTURED,3.4,3.3,3.3,3.2,3.3,3.3,3.4,3.2,3.30,NO,Content-over-containers; no planet; still not the approved settings board.
14,CAPTURED,3.7,3.6,3.4,3.5,3.4,3.6,3.4,3.4,3.50,NO,Policy rows fill the page; LAN/IPv6/DNS values from real stores; not board-locked.
15,CAPTURED,3.6,3.6,3.4,3.3,3.7,3.5,3.4,3.4,3.49,NO,Highest-priority rebuild: 5 debug apps fully visible with packages; list-to-summary gap remains; MAD still high.
16,CAPTURED,3.7,3.6,3.4,3.5,3.4,3.6,3.4,3.4,3.50,NO,Filled Autopilot rules; trusted count 0 is truthful; not fake 2 networks.
17,CAPTURED,3.6,3.5,3.4,3.3,3.7,3.5,3.4,3.4,3.48,NO,No fox; no planet; corridor topology + five rows; still not board-locked.
18,CAPTURED,3.3,3.3,3.2,3.1,3.4,3.4,3.4,3.2,3.29,NO,No planet; Android status Unknown not faked; Always-on VPN name kept.
