screen_id,reference,actual,capture_status,compare_status,mean_abs_diff,visual_status,notes
01,verification/ui_rebuild/reference_v4/01.png,verification/ui_rebuild/actual_v10/01.png,CAPTURED,COMPARED,14.52,CAPTURED_COMPARED_NOT_PIXEL_PASS,
02,verification/ui_rebuild/reference_v4/02.png,verification/ui_rebuild/actual_v10/02.png,CAPTURED,COMPARED,27.32,CAPTURED_COMPARED_NOT_PIXEL_PASS,
03,verification/ui_rebuild/reference_v4/03.png,verification/ui_rebuild/actual_v10/03.png,CAPTURED,COMPARED,25.98,CAPTURED_COMPARED_NOT_PIXEL_PASS,
04,verification/ui_rebuild/reference_v4/04.png,verification/ui_rebuild/actual_v10/04.png,CAPTURED,COMPARED,21.34,CAPTURED_COMPARED_NOT_PIXEL_PASS,
05,verification/ui_rebuild/reference_v4/05.png,verification/ui_rebuild/actual_v10/05.png,CAPTURED,COMPARED,32.32,CAPTURED_COMPARED_NOT_PIXEL_PASS,
06,verification/ui_rebuild/reference_v4/06.png,verification/ui_rebuild/actual_v10/06.png,CAPTURED,COMPARED,18.69,CAPTURED_COMPARED_NOT_PIXEL_PASS,
07,verification/ui_rebuild/reference_v4/07.png,verification/ui_rebuild/actual_v10/07.png,CAPTURED,COMPARED,20.14,CAPTURED_COMPARED_NOT_PIXEL_PASS,
08,verification/ui_rebuild/reference_v4/08.png,verification/ui_rebuild/actual_v10/08.png,CAPTURED,COMPARED,21.20,CAPTURED_COMPARED_NOT_PIXEL_PASS,
09,verification/ui_rebuild/reference_v4/09.png,verification/ui_rebuild/actual_v10/09.png,CAPTURED,COMPARED,29.35,CAPTURED_COMPARED_NOT_PIXEL_PASS,
10,verification/ui_rebuild/reference_v4/10.png,verification/ui_rebuild/actual_v10/10.png,CAPTURED,COMPARED,20.16,CAPTURED_COMPARED_NOT_PIXEL_PASS,
11,verification/ui_rebuild/reference_v4/11.png,verification/ui_rebuild/actual_v10/11.png,CAPTURED,COMPARED,27.19,CAPTURED_COMPARED_NOT_PIXEL_PASS,
12,verification/ui_rebuild/reference_v4/12.png,verification/ui_rebuild/actual_v10/12.png,CAPTURED,COMPARED,26.84,CAPTURED_COMPARED_NOT_PIXEL_PASS,
13,verification/ui_rebuild/reference_v4/13.png,verification/ui_rebuild/actual_v10/13.png,CAPTURED,COMPARED,19.63,CAPTURED_COMPARED_NOT_PIXEL_PASS,
14,verification/ui_rebuild/reference_v4/14.png,verification/ui_rebuild/actual_v10/14.png,CAPTURED,COMPARED,27.70,CAPTURED_COMPARED_NOT_PIXEL_PASS,
15,verification/ui_rebuild/reference_v4/15.png,verification/ui_rebuild/actual_v10/15.png,CAPTURED,COMPARED,33.60,CAPTURED_COMPARED_NOT_PIXEL_PASS,
16,verification/ui_rebuild/reference_v4/16.png,verification/ui_rebuild/actual_v10/16.png,CAPTURED,COMPARED,27.05,CAPTURED_COMPARED_NOT_PIXEL_PASS,
17,verification/ui_rebuild/reference_v4/17.png,verification/ui_rebuild/actual_v10/17.png,CAPTURED,COMPARED,22.33,CAPTURED_COMPARED_NOT_PIXEL_PASS,
18,verification/ui_rebuild/reference_v4/18.png,verification/ui_rebuild/actual_v10/18.png,CAPTURED,COMPARED,29.42,CAPTURED_COMPARED_NOT_PIXEL_PASS,
