screen_id,reference,actual,capture_status,compare_status,mean_abs_diff,visual_status,notes
01,verification/ui_rebuild/reference_v4/01.png,verification/ui_rebuild/actual_v6/01.png,CAPTURED,COMPARED,13.33,CAPTURED_COMPARED_NOT_PIXEL_PASS,
02,verification/ui_rebuild/reference_v4/02.png,verification/ui_rebuild/actual_v6/02.png,CAPTURED,COMPARED,27.74,CAPTURED_COMPARED_NOT_PIXEL_PASS,
03,verification/ui_rebuild/reference_v4/03.png,verification/ui_rebuild/actual_v6/03.png,CAPTURED,COMPARED,25.88,CAPTURED_COMPARED_NOT_PIXEL_PASS,
04,verification/ui_rebuild/reference_v4/04.png,verification/ui_rebuild/actual_v6/04.png,CAPTURED,COMPARED,23.05,CAPTURED_COMPARED_NOT_PIXEL_PASS,
05,verification/ui_rebuild/reference_v4/05.png,verification/ui_rebuild/actual_v6/05.png,CAPTURED,COMPARED,22.40,CAPTURED_COMPARED_NOT_PIXEL_PASS,
06,verification/ui_rebuild/reference_v4/06.png,verification/ui_rebuild/actual_v6/06.png,CAPTURED,COMPARED,20.47,CAPTURED_COMPARED_NOT_PIXEL_PASS,
07,verification/ui_rebuild/reference_v4/07.png,verification/ui_rebuild/actual_v6/07.png,CAPTURED,COMPARED,20.76,CAPTURED_COMPARED_NOT_PIXEL_PASS,
08,verification/ui_rebuild/reference_v4/08.png,verification/ui_rebuild/actual_v6/08.png,CAPTURED,COMPARED,21.89,CAPTURED_COMPARED_NOT_PIXEL_PASS,
09,verification/ui_rebuild/reference_v4/09.png,verification/ui_rebuild/actual_v6/09.png,CAPTURED,COMPARED,31.73,CAPTURED_COMPARED_NOT_PIXEL_PASS,
10,verification/ui_rebuild/reference_v4/10.png,verification/ui_rebuild/actual_v6/10.png,CAPTURED,COMPARED,18.25,CAPTURED_COMPARED_NOT_PIXEL_PASS,
11,verification/ui_rebuild/reference_v4/11.png,verification/ui_rebuild/actual_v6/11.png,CAPTURED,COMPARED,27.29,CAPTURED_COMPARED_NOT_PIXEL_PASS,
12,verification/ui_rebuild/reference_v4/12.png,verification/ui_rebuild/actual_v6/12.png,CAPTURED,COMPARED,29.10,CAPTURED_COMPARED_NOT_PIXEL_PASS,
13,verification/ui_rebuild/reference_v4/13.png,verification/ui_rebuild/actual_v6/13.png,CAPTURED,COMPARED,20.33,CAPTURED_COMPARED_NOT_PIXEL_PASS,
14,verification/ui_rebuild/reference_v4/14.png,verification/ui_rebuild/actual_v6/14.png,CAPTURED,COMPARED,28.43,CAPTURED_COMPARED_NOT_PIXEL_PASS,
15,verification/ui_rebuild/reference_v4/15.png,verification/ui_rebuild/actual_v6/15.png,CAPTURED,COMPARED,35.40,CAPTURED_COMPARED_NOT_PIXEL_PASS,
16,verification/ui_rebuild/reference_v4/16.png,verification/ui_rebuild/actual_v6/16.png,CAPTURED,COMPARED,29.11,CAPTURED_COMPARED_NOT_PIXEL_PASS,
17,verification/ui_rebuild/reference_v4/17.png,verification/ui_rebuild/actual_v6/17.png,CAPTURED,COMPARED,25.49,CAPTURED_COMPARED_NOT_PIXEL_PASS,
18,verification/ui_rebuild/reference_v4/18.png,verification/ui_rebuild/actual_v6/18.png,CAPTURED,COMPARED,28.02,CAPTURED_COMPARED_NOT_PIXEL_PASS,
