screen_id,capture_status,composition,hierarchy,typography,spacing,asset_integration,controls,chrome,polish,average,pass,notes
01,CAPTURED,4.1,3.7,3.5,3.6,4.2,3.5,3.6,3.7,3.74,NO,ru-RU; filled dark planet volume + directional crescent; fox hero; wordmark+loader; not pixel-locked.
02,CAPTURED,4.0,3.7,3.5,3.5,4.2,3.7,3.5,3.6,3.71,NO,ru-RU; fox sits on planet; Купить доступ secondary; not pixel-locked.
03,CAPTURED,3.6,3.6,3.5,3.2,3.7,3.6,3.4,3.4,3.50,NO,Owner directional anchor. Concept frozen; no planet; hub recentered.
04,CAPTURED,3.6,3.5,3.4,3.2,3.7,3.5,3.4,3.4,3.46,NO,Owner directional anchor. Concept frozen; no planet; note+CTA only micro.
05,CAPTURED,4.0,3.7,3.5,3.5,4.2,3.6,3.5,3.5,3.69,NO,ru-RU Не защищено; filled planet behind fox; VPN-permission line truthful.
06,CAPTURED,4.0,3.7,3.5,3.5,4.1,3.7,3.5,3.6,3.70,NO,Static planet (not progress); thicker rail/stages; no orbit; neutral Остановить.
07,CAPTURED,4.0,3.7,3.6,3.5,4.2,3.7,3.5,3.6,3.73,NO,DEBUG Защищено without Нет разрешения VPN; planet behind fox; not production CONNECTED.
08,CAPTURED,3.8,3.7,3.6,3.5,4.0,3.7,3.6,3.5,3.68,NO,Native sheet over live 05; dim 0.18; Always-on VPN without Kill Switch.
09,CAPTURED,3.7,3.6,3.5,3.4,4.0,3.6,3.5,3.5,3.60,NO,ru-RU HTTPS; larger fox+support planet; form remains primary; empty field reduced not gone.
10,CAPTURED,3.8,3.7,3.6,3.5,3.6,3.6,3.5,3.5,3.60,NO,Debug overlay; AUTO first row; RU city names; green ping only for healthy 18/24 ms; no planet.
11,CAPTURED,3.6,3.5,3.6,3.4,3.4,3.6,3.4,3.4,3.49,NO,ru-RU Амстердам; Умная маршрутизация; debug 18ms/12%; disabled CTA cleaned; still lighter than board.
12,CAPTURED,3.6,3.5,3.5,3.3,3.4,3.6,3.4,3.3,3.45,NO,ru-RU debug subscription; 13sp legal note; lower field still open vs board.
13,CAPTURED,3.6,3.5,3.5,3.4,3.3,3.5,3.5,3.4,3.46,NO,52dp rows; Always-on VPN kept as product term; no planet.
14,CAPTURED,3.8,3.7,3.7,3.6,3.4,3.7,3.5,3.6,3.63,NO,Title Умная маршрутизация; calmer eyebrows; Пользовательские правила; Smart/DNS/IPv6 exceptions.
15,CAPTURED,3.8,3.7,3.5,3.5,3.8,3.6,3.5,3.6,3.63,NO,6 debug apps no clip; packages; Пользовательские правила; compact Save; remaining list-to-meta gap.
16,CAPTURED,3.7,3.6,3.6,3.5,3.4,3.6,3.4,3.5,3.54,NO,Footer 13sp; captive copy RU; trusted count 0 truthful; Баланс store line remains.
17,CAPTURED,3.9,3.7,3.6,3.5,4.0,3.6,3.5,3.6,3.68,NO,No fox; no planet; larger inbound/outbound topology; compact Оставить AUTO.
18,CAPTURED,3.7,3.6,3.5,3.4,3.8,3.6,3.4,3.5,3.56,NO,No planet; branded shield+check hero; Android Unknown not faked; Always-on VPN name kept.
