screen_id,capture_status,composition,hierarchy,typography,spacing,asset_integration,controls,chrome,polish,average,pass,notes
01,CAPTURED,3.2,3.0,3.0,2.8,3.8,3.0,3.2,3.0,3.13,NO,ru-RU tagline; fox transparent; still large unused mid field vs board.
02,CAPTURED,3.4,3.2,3.3,3.0,3.8,3.4,3.3,3.1,3.31,NO,ru-RU copy matches board language; fox-only; not pixel-locked.
03,CAPTURED,3.3,3.2,3.2,2.9,3.4,3.3,3.2,3.0,3.19,NO,ru-RU; routing topology not orbits; empty lower field remains.
04,CAPTURED,3.3,3.2,3.2,2.9,3.4,3.3,3.2,3.0,3.19,NO,ru-RU ready/completion mark; not pixel-locked.
05,CAPTURED,3.2,3.2,3.3,3.0,3.7,3.3,3.2,3.0,3.24,NO,ru-RU Не защищено; fox-only; production VPN-permission line still visible (truthful).
06,CAPTURED,3.6,3.4,3.3,3.2,3.6,3.5,3.3,3.2,3.39,NO,Orbit ring removed; segmented rail under fox; Остановить; no permission contradiction.
07,CAPTURED,3.5,3.4,3.4,3.1,3.6,3.4,3.3,3.2,3.36,NO,DEBUG Защищено without Нет разрешения VPN; not production CONNECTED.
08,CAPTURED,3.3,3.3,3.2,3.0,3.3,3.3,3.2,3.0,3.20,NO,ru-RU sheet over live home; still Material-ish vs board.
09,CAPTURED,3.1,3.0,3.1,2.8,3.5,3.2,3.1,2.9,3.09,NO,ru-RU HTTPS; compact CTA; large unused lower field.
10,CAPTURED,2.4,2.6,3.0,2.5,2.6,2.5,3.0,2.4,2.63,NO,ru-RU chrome; debug server rows did not attach to ViewPager; empty production list captured.
11,CAPTURED,3.2,3.2,3.1,3.0,3.2,3.1,3.2,3.0,3.13,NO,ru-RU debug details; 18ms/12% debug-only; ping not globally green.
12,CAPTURED,3.1,3.1,3.1,2.9,3.0,3.1,3.2,2.9,3.05,NO,ru-RU debug subscription labels; compact CTAs.
13,CAPTURED,3.3,3.2,3.3,3.1,3.1,3.1,3.3,3.1,3.19,NO,ru-RU settings; Always-on VPN name kept; not board-locked.
14,CAPTURED,3.0,3.0,3.1,2.7,3.0,3.2,3.1,2.8,2.99,NO,ru-RU body; compact Apply; sparse vs board.
15,CAPTURED,3.4,3.3,3.2,3.1,3.5,3.4,3.2,3.2,3.29,NO,debug glyphs not blank; no scrollbar; ru-RU chrome.
16,CAPTURED,3.0,3.0,3.2,2.7,3.0,3.2,3.1,2.8,3.00,NO,ru-RU Autopilot; compact Done; sparse lower field.
17,CAPTURED,3.5,3.3,3.3,2.8,3.6,3.4,3.2,3.1,3.28,NO,ru-RU; branching topology not encircling orbits; compact AUTO CTA.
18,CAPTURED,3.1,3.1,3.2,2.8,3.3,3.2,3.2,3.0,3.11,NO,Always-on VPN name kept; Android status Unknown not faked.
