screen_id,capture_status,composition,hierarchy,typography,spacing,asset_integration,controls,chrome,polish,average,pass,notes
01,CAPTURED,3.7,3.4,3.2,3.5,3.9,3.2,3.4,3.4,3.46,NO,ru-RU; layered dark planet behind transparent fox; wordmark grouped with hero; not pixel-locked.
02,CAPTURED,3.7,3.4,3.4,3.3,3.9,3.5,3.4,3.3,3.49,NO,ru-RU; fox+planet; AUTO/Ready unchanged on later steps; not pixel-locked.
03,CAPTURED,3.5,3.4,3.3,3.0,3.6,3.4,3.3,3.2,3.34,NO,Owner directional anchor. Concept frozen; no planet. Topology not orbits. Not automatic pixel PASS.
04,CAPTURED,3.5,3.4,3.3,3.0,3.6,3.4,3.3,3.2,3.34,NO,Owner directional anchor. Concept frozen; no planet. Completion mark kept. Not automatic pixel PASS.
05,CAPTURED,3.6,3.4,3.4,3.2,3.8,3.4,3.3,3.2,3.41,NO,ru-RU Не защищено; planet behind fox; production VPN-permission line remains truthful.
06,CAPTURED,3.7,3.5,3.4,3.3,3.8,3.6,3.4,3.3,3.50,NO,Static planet backdrop; V6 rail/stages kept; no orbit ring; neutral Остановить.
07,CAPTURED,3.6,3.5,3.4,3.2,3.8,3.5,3.4,3.3,3.46,NO,DEBUG Защищено without Нет разрешения VPN; planet behind fox; not production CONNECTED.
08,CAPTURED,3.5,3.4,3.3,3.2,3.6,3.4,3.3,3.2,3.36,NO,Native sheet over live 05; planet-backed fox visible under scrim; ru-RU.
09,CAPTURED,3.5,3.3,3.3,3.2,3.8,3.4,3.3,3.2,3.38,NO,ru-RU HTTPS; fox+planet supporting composition; form remains primary.
10,CAPTURED,3.6,3.5,3.3,3.3,3.5,3.4,3.4,3.3,3.41,NO,Debug overlay bound populated server fixture; production catalog not faked; pings muted not auto-green.
11,CAPTURED,3.3,3.3,3.2,3.1,3.3,3.2,3.3,3.1,3.23,NO,ru-RU debug details; 18ms/12% debug-only; no secrets.
12,CAPTURED,3.2,3.2,3.2,3.0,3.1,3.3,3.3,3.0,3.16,NO,ru-RU debug subscription labels; compact/full CTA mix; still sparse vs board.
13,CAPTURED,3.3,3.3,3.3,3.2,3.2,3.2,3.4,3.2,3.26,NO,Content-over-containers; no planet; still close to stock settings rhythm.
14,CAPTURED,3.0,3.1,3.2,2.7,3.0,3.3,3.2,2.8,3.04,NO,Compact Apply; sparse lower half remains; no planet.
15,CAPTURED,3.4,3.3,3.2,3.1,3.5,3.4,3.3,3.2,3.30,NO,Debug icons; no scrollbar; ru-RU; primary save still full-width.
16,CAPTURED,3.0,3.1,3.2,2.7,3.0,3.3,3.2,2.8,3.04,NO,Compact Done; sparse lower half remains; no planet.
17,CAPTURED,3.5,3.3,3.3,2.9,3.6,3.4,3.3,3.2,3.31,NO,No fox; no planet; branching topology + shield; compact AUTO CTA.
18,CAPTURED,3.1,3.2,3.2,2.8,3.3,3.3,3.3,3.0,3.15,NO,No planet; Android status Unknown not faked; Always-on VPN name kept.
